,county,state,2020 Democrat vote raw,2020 Democrat vote %,2020 Republican vote raw,2020 Republican vote %,2020 other vote raw,2020 other vote %,Population with less than 9th grade education,"Population with 9th to 12th grade education, no diploma",High School graduate and equivalent,"Some College,No Degree",Associates Degree,Bachelors Degree,Graduate or professional degree,Gini Index,Median income (dollars),Mean income (dollars),Area in square Km,Density per square km,Total Population,Hispanic or Latino percentage,NH-White percentage,NH-Black percentage,NH-American Indian and Alaska Native percentage,NH-Asian percentage,NH-Native Hawaiian and Other Pacific Islander percentage,NH-Some Other Race percentage,NH-Two or More Races percentage,"Percentage engaged in Management, business, science, and arts occupations",Percentage engaged in Service Occupations,Percentage engaged in Sales and Office,Percentage engaged in Resources and Construction,Percentage engaged in Transportation
"Autauga County, Alabama",Autauga County,Alabama,7503,27.02,19838,71.44,429,1.54,1.70%,7.90%,31.10%,21.00%,8.70%,16.70%,12.80%,0.4541,"68,315","90,372",1539.63,38.17,58805,3.6,70.71,19.3,0.31,1.48,0.04,0.31,4.23,36.39,14.24,22.02,9.99,17.36
"Baldwin County, Alabama",Baldwin County,Alabama,24578,22.41,83544,76.17,1557,1.42,2.00%,6.40%,27.80%,21.70%,9.60%,20.00%,12.50%,0.4648,"71,039","96,027",4117.73,56.69,231767,5.47,80.47,7.77,0.56,0.88,0.05,0.33,4.47,35.62,17.14,24.2,9.91,13.13
"Barbour County, Alabama",Barbour County,Alabama,4816,45.79,5622,53.45,80,0.76,7.30%,16.20%,36.80%,19.90%,7.90%,6.60%,5.30%,0.5098,"39,712","60,128",2292.16,10.85,25223,5.99,43.95,46.98,0.23,0.41,0,0.25,2.19,27.73,20.16,19.49,12.53,20.09
"Bibb County, Alabama",Bibb County,Alabama,1986,20.7,7525,78.43,84,0.88,6.40%,14.70%,40.90%,19.10%,8.00%,6.60%,4.30%,0.4553,"50,669","65,131",1612.19,13.8,22293,3.32,73.75,19.69,0.17,0.12,0.04,0.21,2.69,22.22,15.32,20.57,16.43,25.47
"Blount County, Alabama",Blount County,Alabama,2640,9.57,24711,89.57,237,0.86,7.10%,11.10%,35.30%,20.70%,11.00%,9.40%,5.30%,0.4475,"57,440","75,954",1670.26,35.37,59134,9.76,84.15,1.4,0.32,0.29,0.02,0.17,3.89,26.75,12.98,22.73,15.81,21.73
"Bullock County, Alabama",Bullock County,Alabama,3446,74.7,1146,24.84,21,0.46,9.90%,16.70%,41.30%,19.50%,3.20%,6.90%,2.50%,0.5058,"36,136","52,269",1613.08,6.4,10357,4.86,22.02,71.33,0.01,0.09,0.07,0.3,1.32,20.73,18.19,9.83,16.88,34.38
"Butler County, Alabama",Butler County,Alabama,3965,41.79,5458,57.53,65,0.69,3.90%,8.50%,48.00%,19.10%,7.40%,7.80%,5.30%,0.4837,"44,429","65,988",2012,9.43,19051,1.36,50.81,44.03,0.12,0.75,0.03,0.24,2.66,25.04,15.28,22.62,10.47,26.59
"Calhoun County, Alabama",Calhoun County,Alabama,15216,29.85,35101,68.85,666,1.31,4.40%,10.50%,34.60%,23.20%,8.10%,11.50%,7.60%,0.4519,"54,339","69,213",1569.25,74.02,116441,4.3,68.29,21.78,0.33,1,0.1,0.27,3.92,29.79,18.19,21,9.92,21.1
"Chambers County, Alabama",Chambers County,Alabama,6365,41.64,8753,57.27,166,1.09,5.80%,10.80%,39.50%,20.30%,10.90%,9.20%,3.50%,0.4371,"48,805","64,377",1545.07,22.4,34772,3.56,53.54,38.65,0.2,1.11,0.03,0.33,2.58,26.71,17.74,17.31,9.73,28.51
"Cherokee County, Alabama",Cherokee County,Alabama,1624,13.2,10583,86.03,94,0.76,6.60%,11.50%,36.10%,19.30%,12.00%,8.30%,6.30%,0.4484,"46,621","65,664",1433.62,17.49,24971,1.6,90.36,3.95,0.44,0.22,0,0.18,3.24,34.57,16.41,16.83,11.98,20.21
"Chilton County, Alabama",Chilton County,Alabama,3073,15.91,16085,83.3,152,0.79,5.90%,11.90%,41.60%,19.10%,7.50%,8.20%,5.80%,0.4211,"62,471","73,650",1794.44,25.16,45014,9.81,77.48,8.97,0.25,0.39,0.01,0.27,2.81,22.82,14.88,19.57,20.95,21.79
"Choctaw County, Alabama",Choctaw County,Alabama,3127,41.89,4296,57.56,41,0.55,6.40%,11.20%,38.20%,21.50%,9.70%,9.60%,3.40%,0.4675,"43,299","61,685",2365.9,5.35,12665,0.89,55.58,41.19,0.19,0.15,0,0.1,1.89,21.51,16.13,26.15,15.78,20.43
"Clarke County, Alabama",Clarke County,Alabama,5755,43.81,7324,55.76,56,0.43,4.90%,13.70%,41.00%,19.60%,7.00%,8.40%,5.40%,0.529,"47,549","71,413",3207.49,7.19,23087,0.89,51.85,44.28,0.32,0.39,0,0.16,2.1,27.31,15.15,24.33,11.38,21.83
"Clay County, Alabama",Clay County,Alabama,1267,18.28,5601,80.82,62,0.89,5.00%,11.60%,37.40%,21.30%,11.80%,9.20%,3.60%,0.48,"48,074","69,549",1564.26,9.08,14236,3.15,79.1,13.64,0.32,0.32,0.03,0.18,3.25,33.48,10.76,15.37,11.62,28.77
"Cleburne County, Alabama",Cleburne County,Alabama,675,9.34,6484,89.72,68,0.94,5.20%,12.30%,39.00%,19.50%,7.60%,11.00%,5.50%,0.4724,"51,553","71,645",1450.67,10.44,15056,1.89,91.26,3.04,0.28,0.14,0.01,0.11,3.28,28.65,14.95,17.71,16.62,22.07
"Coffee County, Alabama",Coffee County,Alabama,5076,22.79,16899,75.87,300,1.35,4.50%,8.90%,28.90%,23.00%,13.10%,13.10%,8.50%,0.4354,"62,199","78,477",1758.57,30.46,53465,9.14,66.88,16.17,0.76,1.67,0.11,0.36,4.91,31.19,18.76,18.69,14.03,17.33
